lemma,pos,frequency,function_words,semantic_category1,semantic_category2,semantic_category3,semantic_category
més,RG,135857,1,grau,grau,grau,grau
no,RN,114504,1,grau,manera,modal,modal
també,RG,67663,1,focal,focal,focal,focal
després,RG,50113,1,temps,temps,temps,temps
molt,RG,36867,1,grau,grau,grau,grau
encara,RG,22856,1,aspecte,aspecte,aspecte,aspecte
només,RG,21819,1,focal,focal,focal,focal
ja,RG,19685,1,aspecte,aspecte,temps,aspecte
així,RG,18617,1,manera,manera,manera,manera
abans,RG,18383,1,temps,temps,temps,temps
tant,RG,16027,1,grau,grau,grau,grau
ara,RG,10230,1,temps,temps,temps,temps
ben,RG,9357,1,manera,avaluatiu,manera,manera
llavors,RG,8889,1,temps,temps,temps,temps
poc,RG,8564,1,grau,grau,grau,grau
sempre,RG,8126,1,temps,temps,temps,temps
actualment,RG,7770,0,temps,temps,temps,temps
especialment,RG,7714,0,focal,focal,focal,focal
prop,RG,7398,1,lloc,lloc,lloc,lloc
sovint,RG,7397,1,aspecte,aspecte,aspecte,aspecte
avui,RG,7302,1,temps,temps,temps,temps
finalment,RG,6914,0,temps,aspecte,temps,temps
dins,RG,6381,1,lloc,lloc,lloc,lloc
fins,RG,6224,1,temps,temps,temps,temps
tan,RG,6218,1,grau,grau,grau,grau
menys,RG,6156,1,grau,grau,grau,grau
sobretot,RG,6143,1,focal,focal,focal,focal
tard,RG,6135,1,temps,temps,temps,temps
probablement,RG,6108,0,modal,modal,modal,modal
juntament,RG,6066,0,manera,manera,manera,manera
mai,RG,5988,1,temps,temps,temps,temps
principalment,RG,5798,0,focal,focal,focal,focal
posteriorment,RG,5382,0,temps,aspecte,temps,temps
gairebé,RG,5269,1,grau,grau,grau,grau
bé,RG,4590,1,manera,manera,manera,manera
tot,RG,4588,1,grau,grau,grau,grau
tanmateix,RG,4394,1,modal,focal,oracional,focal
aproximadament,RG,3969,0,grau,grau,grau,grau
aviat,RG,3877,1,temps,temps,temps,temps
aleshores,RG,3703,1,temps,temps,temps,temps
generalment,RG,3453,0,aspecte,aspecte,aspecte,aspecte
normalment,RG,3340,0,aspecte,aspecte,aspecte,aspecte
força,RG,3321,1,grau,grau,grau,grau
potser,RG,3040,1,modal,modal,modal,modal
aquí,RG,2971,1,lloc,lloc,lloc,lloc
sols,RG,2911,1,focal,focal,focal,focal
alhora,RG,2786,1,temps,temps,temps,temps
directament,RG,2708,0,manera,manera,manera,manera
ràpidament,RG,2603,0,manera,manera,manera,manera
quasi,RG,2547,1,grau,grau,grau,grau
totalment,RG,2459,0,grau,grau,grau,grau
completament,RG,2426,0,grau,grau,grau,grau
massa,RG,2395,1,grau,grau,grau,grau
davant,RG,2220,1,lloc,lloc,lloc,lloc
arreu,RG,2203,1,lloc,lloc,lloc,lloc
oficialment,RG,2194,0,manera,manera,manera,manera
endavant,RG,2184,1,lloc,lloc,lloc,lloc
simplement,RG,2085,0,avaluatiu,manera,manera,focal
dintre,RG,1976,1,lloc,lloc,lloc,lloc
inicialment,RG,1890,0,temps,temps,temps,temps
possiblement,RG,1890,0,modal,modal,modal,modal
allí,RG,1884,1,lloc,lloc,lloc,lloc
pràcticament,RG,1832,0,grau,grau,grau,grau
definitivament,RG,1794,0,modal,modal,modal,modal
segurament,RG,1791,0,modal,modal,modal,modal
relativament,RG,1791,0,grau,grau,grau,grau
novament,RG,1766,0,aspecte,aspecte,aspecte ,aspecte
bastant,RG,1763,1,grau,grau,grau,grau
enllà,RG,1654,1,lloc,lloc,lloc,lloc
damunt,RG,1633,1,lloc,lloc,lloc,lloc
