passage,question,answer,mutation_change,answerable,answer_type,gpt5_answer,gpt5_correct,llama_answer,llama_accuracy,gpt_old_answer,gpt_old_accuracy
"Iaith Germanaidd sy'n frodorol i Loegr yw'r Saesneg (English). Mae'n un o ddwy iaith swyddogol yng Nghymru (ynghyd â'r Gymraeg) yn ogystal, ac yn un o ieithoedd mwya'r byd. Mae'n llawer iau na'r Gymraeg a'r ieithoedd Celtaidd eraill. 
Datblygodd y Saesneg o iaith llwythau Germanaidd ag ymsefydlodd ym Mhrydain rhwng y bumed a'r 7g gan ddisodli iaith a diwylliant y Brythoniaid brodorol o rannau o dde-ddwyrain Prydain a chreu'r teyrnasoedd Eingl-Sacsonaidd. Erbyn 10g roedd y teyrnasoedd hyn wedi uno i greu teyrnas Lloegr. Lledodd y Saesneg drwy'r byd yn sgîl trachwant imperialaidd y Saeson a arweiniodd at greu gwladfeydd Seisnig mewn sawl rhan o'r byd.",Pa deyrnas cafodd ei greu erbyn 10g?,Lloegr,1,1,location,Teyrnas Lloegr,1,Teyrnas Lloegr,1,Teyrnasoedd Eingl-Sacsonaidd,0
"Iaith Germanaidd sy'n frodorol i Loegr yw'r Saesneg (English). Mae'n un o ddwy iaith swyddogol yng Nghymru (ynghyd â'r Gymraeg) yn ogystal, ac yn un o ieithoedd mwya'r byd. Mae'n llawer iau na'r Gymraeg a'r ieithoedd Celtaidd eraill. 
Datblygodd y Saesneg o iaith llwythau Germanaidd ag ymsefydlodd ym Mhrydain rhwng y bumed a'r 7g gan ddisodli iaith a diwylliant y Brythoniaid brodorol o rannau o dde-ddwyrain Prydain a chreu'r teyrnasoedd Eingl-Sacsonaidd. Erbyn 10g roedd y teyrnasoedd hyn wedi uno i greu teyrnas Lloegr. Lledodd y Saesneg drwy'r byd yn sgîl trachwant imperialaidd y Saeson a arweiniodd at greu gwladfeydd Seisnig mewn sawl rhan o'r byd.",Pa lwythau a ymsefydlodd ym Mhrydain?,Germanaidd,1,1,adjective_phrase,llwythau Germanaidd,1,Lwythau Germanaidd.,1,Germanaidd,1
"Iaith Germanaidd sy'n frodorol i Loegr yw'r Saesneg (English). Mae'n un o ddwy iaith swyddogol yng Nghymru (ynghyd â'r Gymraeg) yn ogystal, ac yn un o ieithoedd mwya'r byd. Mae'n llawer iau na'r Gymraeg a'r ieithoedd Celtaidd eraill. 
Datblygodd y Saesneg o iaith llwythau Germanaidd ag ymsefydlodd ym Mhrydain rhwng y bumed a'r 7g gan ddisodli iaith a diwylliant y Brythoniaid brodorol o rannau o dde-ddwyrain Prydain a chreu'r teyrnasoedd Eingl-Sacsonaidd. Erbyn 10g roedd y teyrnasoedd hyn wedi uno i greu teyrnas Lloegr. Lledodd y Saesneg drwy'r byd yn sgîl trachwant imperialaidd y Saeson a arweiniodd at greu gwladfeydd Seisnig mewn sawl rhan o'r byd.",Pam lledodd y Saesneg drwy'r byd?,trachwant imperialaidd y Saeson,0,1,noun_phrase,Yn sgîl trachwant imperialaidd y Saeson,1,Trachwant imperialaidd y Saeson.,1,LLEDDODD TRACHWANT IMPERIALAIDD Y SAESENNAID.,0
"Iaith Germanaidd sy'n frodorol i Loegr yw'r Saesneg (English). Mae'n un o ddwy iaith swyddogol yng Nghymru (ynghyd â'r Gymraeg) yn ogystal, ac yn un o ieithoedd mwya'r byd. Mae'n llawer iau na'r Gymraeg a'r ieithoedd Celtaidd eraill. 
Datblygodd y Saesneg o iaith llwythau Germanaidd ag ymsefydlodd ym Mhrydain rhwng y bumed a'r 7g gan ddisodli iaith a diwylliant y Brythoniaid brodorol o rannau o dde-ddwyrain Prydain a chreu'r teyrnasoedd Eingl-Sacsonaidd. Erbyn 10g roedd y teyrnasoedd hyn wedi uno i greu teyrnas Lloegr. Lledodd y Saesneg drwy'r byd yn sgîl trachwant imperialaidd y Saeson a arweiniodd at greu gwladfeydd Seisnig mewn sawl rhan o'r byd.",Pa fath o iaith yw'r Saesneg?,Germanaidd,0,1,adjective_phrase,Iaith Germanaidd,1,Iaith Germanaidd,1,Iaith Germanaidd,1
"Iaith Germanaidd sy'n frodorol i Loegr yw'r Saesneg (English). Mae'n un o ddwy iaith swyddogol yng Nghymru (ynghyd â'r Gymraeg) yn ogystal, ac yn un o ieithoedd mwya'r byd. Mae'n llawer iau na'r Gymraeg a'r ieithoedd Celtaidd eraill. 
Datblygodd y Saesneg o iaith llwythau Germanaidd ag ymsefydlodd ym Mhrydain rhwng y bumed a'r 7g gan ddisodli iaith a diwylliant y Brythoniaid brodorol o rannau o dde-ddwyrain Prydain a chreu'r teyrnasoedd Eingl-Sacsonaidd. Erbyn 10g roedd y teyrnasoedd hyn wedi uno i greu teyrnas Lloegr. Lledodd y Saesneg drwy'r byd yn sgîl trachwant imperialaidd y Saeson a arweiniodd at greu gwladfeydd Seisnig mewn sawl rhan o'r byd.",A yw'r Saesneg yn debyg i'r ieithoedd Celtaidd?,DIM YN Y DARN TESTUN,0,0,none,Na,0,DIM YN Y DARN TESTUN,1,DIM YN Y DARN TESTUN,1
"Cantores R&B ac actores yw Beyoncé Giselle Knowles (ganwyd 4 Medi 1981). Roedd hi'n aelod o'r gr?p Destiny's Child. Hefyd mae hi'n gynhyrchydd recordiau ac yn cyfansoddi ei chaneuon ei hun. Fe'i ganed a'i magu yn Houston, Texas, lle mynychodd ysgol berfformio. Dechreuodd gystadlu mewn cystadlaethau canu a dawnsio pan oedd yn blentyn. Daeth Knowles yn enwog ar ddiwedd y 1990au fel prif leisydd y gr?p ""Destiny's Child"". Tra gyda'r gr?p, gwerthodd Knowles dros 50 miliwn o recordiau'n fyd-eang ac yn ystod ei gyrfa llawn, mae wedi gwerthu dros 75 miliwn o recordiau.",Pryd ganwyd Beyonce?,4 Medi 1981,0,1,date,4 Medi 1981,1,4 Medi 1981,1,4 Medi 1981,1
"Cantores R&B ac actores yw Beyoncé Giselle Knowles (ganwyd 4 Medi 1981). Roedd hi'n aelod o'r gr?p Destiny's Child. Hefyd mae hi'n gynhyrchydd recordiau ac yn cyfansoddi ei chaneuon ei hun. Fe'i ganed a'i magu yn Houston, Texas, lle mynychodd ysgol berfformio. Dechreuodd gystadlu mewn cystadlaethau canu a dawnsio pan oedd yn blentyn. Daeth Knowles yn enwog ar ddiwedd y 1990au fel prif leisydd y gr?p ""Destiny's Child"". Tra gyda'r gr?p, gwerthodd Knowles dros 50 miliwn o recordiau'n fyd-eang ac yn ystod ei gyrfa llawn, mae wedi gwerthu dros 75 miliwn o recordiau.",Ym mha fath o gystadlaethau y dechreuodd Beyonce gystadlu pan oedd yn blentyn?,canu a dawnsio,1,1,verb_phrase,cystadlaethau canu a dawnsio,1,Cystadlaethau canu a dawnsio.,1,Canu a dawnsio,1
"Cantores R&B ac actores yw Beyoncé Giselle Knowles (ganwyd 4 Medi 1981). Roedd hi'n aelod o'r gr?p Destiny's Child. Hefyd mae hi'n gynhyrchydd recordiau ac yn cyfansoddi ei chaneuon ei hun. Fe'i ganed a'i magu yn Houston, Texas, lle mynychodd ysgol berfformio. Dechreuodd gystadlu mewn cystadlaethau canu a dawnsio pan oedd yn blentyn. Daeth Knowles yn enwog ar ddiwedd y 1990au fel prif leisydd y gr?p ""Destiny's Child"". Tra gyda'r gr?p, gwerthodd Knowles dros 50 miliwn o recordiau'n fyd-eang ac yn ystod ei gyrfa llawn, mae wedi gwerthu dros 75 miliwn o recordiau.",Pryd daeth Knowles yn enwog?,ar ddiwedd y 1990au,0,1,date,ar ddiwedd y 1990au,1,Diwedd y 1990au,1,Yn y diwedd o'r 1990au,1
"Cantores R&B ac actores yw Beyoncé Giselle Knowles (ganwyd 4 Medi 1981). Roedd hi'n aelod o'r gr?p Destiny's Child. Hefyd mae hi'n gynhyrchydd recordiau ac yn cyfansoddi ei chaneuon ei hun. Fe'i ganed a'i magu yn Houston, Texas, lle mynychodd ysgol berfformio. Dechreuodd gystadlu mewn cystadlaethau canu a dawnsio pan oedd yn blentyn. Daeth Knowles yn enwog ar ddiwedd y 1990au fel prif leisydd y gr?p ""Destiny's Child"". Tra gyda'r gr?p, gwerthodd Knowles dros 50 miliwn o recordiau'n fyd-eang ac yn ystod ei gyrfa llawn, mae wedi gwerthu dros 75 miliwn o recordiau.",Beth yw'r enw chwaer Beyonce?,DIM YN Y DARN TESTUN,0,0,none,DIM YN Y DARN TESTUN,1,DIM YN Y DARN TESTUN,1,DIM YN Y DARN TESTUN,1
"Cantores R&B ac actores yw Beyoncé Giselle Knowles (ganwyd 4 Medi 1981). Roedd hi'n aelod o'r gr?p Destiny's Child. Hefyd mae hi'n gynhyrchydd recordiau ac yn cyfansoddi ei chaneuon ei hun. Fe'i ganed a'i magu yn Houston, Texas, lle mynychodd ysgol berfformio. Dechreuodd gystadlu mewn cystadlaethau canu a dawnsio pan oedd yn blentyn. Daeth Knowles yn enwog ar ddiwedd y 1990au fel prif leisydd y gr?p ""Destiny's Child"". Tra gyda'r gr?p, gwerthodd Knowles dros 50 miliwn o recordiau'n fyd-eang ac yn ystod ei gyrfa llawn, mae wedi gwerthu dros 75 miliwn o recordiau.",Cynhyrchydd recordiau yw Beyonce. Gwir neu gau?,gwir,1,1,true_false,Gwir,1,GWIR.,1,GWIR,1
